id,date,asset,liability
23373,9/30/2002,95914,87304
23376,12/31/2002,95937,87453
23376,3/31/2002,83335,75939
23376,6/30/2002,84988,77125
23376,9/30/2002,90501,82248
234,12/31/2002,56866,49406
234,3/31/2002,55204,47914
234,6/30/2002,55180,47695
234,9/30/2002,56940,49249
23404,12/31/2002,78625,72580
23404,3/31/2002,72425,66709
23404,6/30/2002,73619,67798
23404,9/30/2002,73962,68002
23406,12/31/2002,2210000,1890000
23406,3/31/2002,1940000,1630000
23406,6/30/2002,2020000,1700000
23406,9/30/2002,2180000,1860000
23410,12/31/2002,141564,130310
23410,3/31/2002,116761,107957
23410,6/30/2002,123334,113906
23410,9/30/2002,131008,120145
23415,12/31/2002,286895,263703
23415,3/31/2002,236225,216261
23415,6/30/2002,246060,225181
23415,9/30/2002,270486,249040
23430,12/31/2002,105957,97224
23430,3/31/2002,101363,93330
23430,6/30/2002,100732,92402
23430,9/30/2002,101698,93382
23431,12/31/2002,80764,73375
23431,3/31/2002,74601,67666
23431,6/30/2002,78938,71667
23431,9/30/2002,83190,75581
23433,12/31/2002,135859,119858
23433,3/31/2002,119849,105591
23433,6/30/2002,123809,108488
23433,9/30/2002,127713,112014
2345,12/31/2002,1530000,1390000
2345,3/31/2002,1450000,1330000
2345,6/30/2002,1500000,1370000
2345,9/30/2002,1550000,1410000
23450,12/31/2002,64740,57879
23450,3/31/2002,61774,56422
23450,6/30/2002,62366,56466
23450,9/30/2002,64494,57990
23453,12/31/2002,127184,117200
23453,3/31/2002,137992,128978
23453,6/30/2002,121822,112489
23453,9/30/2002,122438,112729
23463,12/31/2002,1470000,1330000
23463,3/31/2002,1250000,1140000
23463,6/30/2002,1290000,1170000
23463,9/30/2002,1370000,1250000
23468,12/31/2002,100532,21248
23468,3/31/2002,103308,32380
23468,6/30/2002,96320,22561
23468,9/30/2002,102360,23743
23469,12/31/2002,138722,125657
23469,3/31/2002,134982,123590
23469,6/30/2002,141792,130096
23469,9/30/2002,139788,127297
23470,12/31/2002,256853,239776
23470,3/31/2002,239319,224898
23470,6/30/2002,243828,227636
23470,9/30/2002,236760,219906
23472,12/31/2002,313757,62269
23472,3/31/2002,282904,47737
23472,6/30/2002,292382,50463
23472,9/30/2002,305068,55041
23473,12/31/2002,556850,500409
23473,3/31/2002,530703,478215
23473,6/30/2002,532973,478889
23473,9/30/2002,553012,497559
23474,12/31/2002,1040000,964557
23474,3/31/2002,894514,826442
23474,6/30/2002,984582,911411
23474,9/30/2002,1040000,959359
23498,12/31/2002,44331,41090
23498,3/31/2002,44111,40719
23498,6/30/2002,44290,40921
23498,9/30/2002,43933,40645
235,12/31/2002,49260,44897
235,3/31/2002,44533,40465
235,6/30/2002,45258,41097
235,9/30/2002,47163,42848
23502,12/31/2002,143871,124576
23502,3/31/2002,134389,115887
23502,6/30/2002,138055,119277
23502,9/30/2002,142136,123074
23523,12/31/2002,82201,72372
23523,3/31/2002,78783,69919
23523,6/30/2002,85351,76011
23523,9/30/2002,92132,82533
23524,12/31/2002,336867,299890
23524,3/31/2002,306886,270838
23524,6/30/2002,312125,275848
23524,9/30/2002,322972,287252
23530,12/31/2002,33938,29789
23530,3/31/2002,32199,28247
23530,6/30/2002,32755,28743
23530,9/30/2002,33132,29040
23537,12/31/2002,164088,142044
23537,3/31/2002,127791,108431
23537,6/30/2002,140814,120545
23537,9/30/2002,161823,140808
23543,12/31/2002,537316,501189
23543,3/31/2002,503137,480412
23543,6/30/2002,584086,553329
23543,9/30/2002,573165,538888
23544,12/31/2002,104483,94990
23544,3/31/2002,97586,88973
23544,6/30/2002,94312,85412
23544,9/30/2002,98800,89516
23546,12/31/2002,252948,222127
23546,3/31/2002,236819,207313
23546,6/30/2002,243856,213849
23546,9/30/2002,254972,224423
23551,12/31/2002,62907,55735
23551,3/31/2002,63800,57328
23551,6/30/2002,61721,54985
23551,9/30/2002,62960,56069
23556,12/31/2002,383025,344117
23556,3/31/2002,221376,199250
