id,date,security
32307,9/30/2002,0
22598,3/31/2002,0
15879,6/30/2002,5357
35373,6/30/2002,0
5226,9/30/2002,7960
22092,12/31/2002,0
13749,3/31/2002,17476
823,12/31/2002,44972
29831,3/31/2002,6505
10203,9/30/2002,3889
5404,6/30/2002,1046
27423,12/31/2002,10756
20830,6/30/2002,23487
28778,3/31/2002,224040
35306,3/31/2002,4789
2832,3/31/2002,22243
32195,6/30/2002,3
6560,6/30/2002,1680000
57377,12/31/2002,1936
34603,9/30/2002,12178
11623,9/30/2002,2646
9661,12/31/2002,230
18454,3/31/2002,4470
30319,6/30/2002,20146
23273,12/31/2002,0
34549,12/31/2002,3480
26396,3/31/2002,1794
28407,9/30/2002,30295
30401,12/31/2002,162509
19328,12/31/2002,27084
33664,12/31/2002,0
18958,9/30/2002,6584
27968,9/30/2002,0
34689,3/31/2002,1229
18922,9/30/2002,0
14772,3/31/2002,0
7526,3/31/2002,18012
8533,9/30/2002,8353
1342,3/31/2002,264960
32469,3/31/2002,494094
6161,9/30/2002,643
18795,9/30/2002,0
9385,3/31/2002,1067
28283,12/31/2002,9215
57021,12/31/2002,5911
33211,6/30/2002,11985
1163,6/30/2002,1235
23158,9/30/2002,5192
23058,6/30/2002,718
21034,6/30/2002,2885
3860,12/31/2002,2127
4536,12/31/2002,141592
15836,12/31/2002,4290
21673,3/31/2002,36493
26816,9/30/2002,0
3679,6/30/2002,27066
10597,3/31/2002,0
29608,3/31/2002,0
10514,3/31/2002,6757
1690,9/30/2002,166
21897,9/30/2002,0
9457,12/31/2002,215
29331,9/30/2002,2501
15266,3/31/2002,0
3336,3/31/2002,0
2127,3/31/2002,2947
29323,12/31/2002,0
12319,9/30/2002,0
9742,3/31/2002,150
3274,12/31/2002,184
3301,3/31/2002,0
17769,6/30/2002,981
3141,9/30/2002,27559
3671,3/31/2002,0
10844,9/30/2002,10989
13737,6/30/2002,0
4075,9/30/2002,14904
9744,3/31/2002,1104
21290,12/31/2002,670
4739,3/31/2002,13060
33778,3/31/2002,0
4191,6/30/2002,9698
33218,6/30/2002,8160
13918,12/31/2002,83
35033,3/31/2002,8670
28774,12/31/2002,24740
3709,12/31/2002,1150000
1080,12/31/2002,11526
26451,3/31/2002,27323
24303,12/31/2002,0
861,3/31/2002,28300
10920,9/30/2002,5942
8270,3/31/2002,8257
15907,12/31/2002,347
6616,12/31/2002,11364
16905,3/31/2002,0
9208,3/31/2002,11989
4144,6/30/2002,7483
15817,3/31/2002,199
1639,6/30/2002,21220
18031,6/30/2002,4746
25851,12/31/2002,894
23864,12/31/2002,0
16301,6/30/2002,0
35043,3/31/2002,2035
35241,6/30/2002,0
1921,3/31/2002,3635
34673,3/31/2002,0
30282,3/31/2002,5451
34178,6/30/2002,255
13109,3/31/2002,0
529,9/30/2002,13
34434,3/31/2002,2620000
12839,6/30/2002,792
1208,12/31/2002,88427
35209,9/30/2002,0
14573,6/30/2002,1750
1039,6/30/2002,0
26381,12/31/2002,15980
15808,12/31/2002,0
4801,3/31/2002,0
11116,12/31/2002,79163
12457,6/30/2002,0
35011,6/30/2002,0
29435,3/31/2002,2605
26646,3/31/2002,18340
28346,9/30/2002,5060
15271,3/31/2002,16353
4163,12/31/2002,6054
4767,12/31/2002,116399
10101,3/31/2002,0
14574,9/30/2002,7183
57093,12/31/2002,6844
14867,6/30/2002,4160
21158,9/30/2002,961
34897,3/31/2002,15103
19772,12/31/2002,475
2127,9/30/2002,2402
3680,6/30/2002,0
12982,12/31/2002,5813
24308,9/30/2002,68177
35027,12/31/2002,6015
26871,12/31/2002,2333
12432,9/30/2002,3678
9679,6/30/2002,7977
26704,3/31/2002,0
12525,3/31/2002,918389
35302,3/31/2002,0
35261,3/31/2002,0
16699,9/30/2002,544
4511,3/31/2002,22185
26906,3/31/2002,0
29861,6/30/2002,8656
26621,9/30/2002,0
1553,12/31/2002,3190
10464,9/30/2002,5374
4371,6/30/2002,2062
20220,3/31/2002,12
7329,9/30/2002,9237
9712,12/31/2002,339533
19768,6/30/2002,25201
18272,9/30/2002,198956
4734,9/30/2002,0
12017,12/31/2002,177740
1005,12/31/2002,10326
35461,9/30/2002,8310
11106,3/31/2002,124841
4132,12/31/2002,22868
