id,date,security,asset,liability
32307,2002-09-30,0,53714,49350
22598,2002-03-31,0,57360,53205
15879,2002-06-30,5357,76960,62945
35373,2002-06-30,0,46551,38721
5226,2002-09-30,7960,53873,48146
22092,2002-12-31,0,147828,135596
13749,2002-03-31,17476,214733,189972
823,2002-12-31,44972,271961,241138
29831,2002-03-31,6505,58300,43689
10203,2002-09-30,3889,320853,293453
5404,2002-06-30,1046,36899,32891
27423,2002-12-31,10756,257250,239490
20830,2002-06-30,23487,659381,604227
28778,2002-03-31,224040,560836,496369
35306,2002-03-31,4789,76394,69912
2832,2002-03-31,22243,218753,192697
32195,2002-06-30,3,97409,88639
6560,2002-06-30,1680000,25100000,23700000
57377,2002-12-31,1936,19668,11375
34603,2002-09-30,12178,76584,71399
11623,2002-09-30,2646,40542,37220
9661,2002-12-31,230,23758,20822
18454,2002-03-31,4470,55603,50517
30319,2002-06-30,20146,157151,137670
23273,2002-12-31,0,408645,367875
34549,2002-12-31,3480,35130,32200
26396,2002-03-31,1794,210939,195531
28407,2002-09-30,30295,120546,106841
30401,2002-12-31,162509,791312,692618
19328,2002-12-31,27084,290837,261994
33664,2002-12-31,0,82683,82683
18958,2002-09-30,6584,34813,31376
27968,2002-09-30,0,66647,54135
34689,2002-03-31,1229,83273,75801
18922,2002-09-30,0,631272,558114
14772,2002-03-31,0,66489,59010
7526,2002-03-31,18012,263611,239020
8533,2002-09-30,8353,62560,52420
1342,2002-03-31,264960,535828,492266
32469,2002-03-31,494094,3050000,2850000
6161,2002-09-30,643,478543,429115
18795,2002-09-30,0,20260,17833
9385,2002-03-31,1067,64526,57305
28283,2002-12-31,9215,115650,100890
57021,2002-12-31,5911,58401,51581
33211,2002-06-30,11985,183583,171745
1163,2002-06-30,1235,40032,36888
23158,2002-09-30,5192,49676,45862
23058,2002-06-30,718,88038,79764
21034,2002-06-30,2885,184042,169913
3860,2002-12-31,2127,169689,154792
4536,2002-12-31,141592,863914,797937
15836,2002-12-31,4290,33784,29478
21673,2002-03-31,36493,555130,491478
26816,2002-09-30,0,7518,5205
3679,2002-06-30,27066,695675,641394
10597,2002-03-31,0,37717,33585
29608,2002-03-31,0,19997,18442
10514,2002-03-31,6757,46153,42416
1690,2002-09-30,166,61389,53242
21897,2002-09-30,0,55709,51176
9457,2002-12-31,215,395743,346534
29331,2002-09-30,2501,282768,246224
15266,2002-03-31,0,17737,16139
3336,2002-03-31,0,24106,20606
2127,2002-03-31,2947,225352,205134
29323,2002-12-31,0,78412,66843
12319,2002-09-30,0,23502,21497
9742,2002-03-31,150,12557,11327
3274,2002-12-31,184,94641,87337
3301,2002-03-31,0,176494,153877
17769,2002-06-30,981,30192,27402
3141,2002-09-30,27559,204277,183891
3671,2002-03-31,0,26802,23352
10844,2002-09-30,10989,95790,78774
13737,2002-06-30,0,173034,155164
4075,2002-09-30,14904,75064,65571
9744,2002-03-31,1104,55853,52020
21290,2002-12-31,670,53570,49730
4739,2002-03-31,13060,108533,99076
33778,2002-03-31,0,2000000,1150000
4191,2002-06-30,9698,109563,100560
33218,2002-06-30,8160,55288,48750
13918,2002-12-31,83,59330,53142
35033,2002-03-31,8670,35216,28853
28774,2002-12-31,24740,90043,78027
3709,2002-12-31,1150000,5950000,5490000
1080,2002-12-31,11526,471026,436385
26451,2002-03-31,27323,241926,217079
24303,2002-12-31,0,61534,56360
861,2002-03-31,28300,144231,128162
10920,2002-09-30,5942,120140,97087
8270,2002-03-31,8257,123472,112106
15907,2002-12-31,347,38501,35049
6616,2002-12-31,11364,121144,109037
16905,2002-03-31,0,19187,16884
9208,2002-03-31,11989,118744,107631
4144,2002-06-30,7483,15641,13842
15817,2002-03-31,199,13267,11667
1639,2002-06-30,21220,123572,110029
18031,2002-06-30,4746,224162,208066
25851,2002-12-31,894,46857,41684
23864,2002-12-31,0,141398,128738
16301,2002-06-30,0,20427,17364
35043,2002-03-31,2035,64597,58937
35241,2002-06-30,0,30021,26426
1921,2002-03-31,3635,64174,57933
34673,2002-03-31,0,128803,118591
30282,2002-03-31,5451,89458,79463
34178,2002-06-30,255,74275,67853
13109,2002-03-31,0,304382,278628
529,2002-09-30,13,62321,57645
34434,2002-03-31,2620000,8490000,7420000
12839,2002-06-30,792,347814,313829
1208,2002-12-31,88427,516842,474948
35209,2002-09-30,0,22578,20353
14573,2002-06-30,1750,104308,92544
1039,2002-06-30,0,921127,839764
26381,2002-12-31,15980,188180,175520
15808,2002-12-31,0,225505,202101
4801,2002-03-31,0,131072,120084
11116,2002-12-31,79163,254597,230930
12457,2002-06-30,0,60689,55855
35011,2002-06-30,0,529258,480513
29435,2002-03-31,2605,129676,121157
26646,2002-03-31,18340,468294,431509
28346,2002-09-30,5060,72137,66100
15271,2002-03-31,16353,268403,234057
4163,2002-12-31,6054,55499,47715
4767,2002-12-31,116399,987173,891780
10101,2002-03-31,0,75750,68113
14574,2002-09-30,7183,33770,29667
57093,2002-12-31,6844,12258,1881
14867,2002-06-30,4160,99088,90823
21158,2002-09-30,961,27359,24117
34897,2002-03-31,15103,97699,87869
19772,2002-12-31,475,313267,286753
2127,2002-09-30,2402,299926,277981
3680,2002-06-30,0,12132,10300
12982,2002-12-31,5813,471014,418009
24308,2002-09-30,68177,200250,180808
35027,2002-12-31,6015,65005,59416
26871,2002-12-31,2333,124290,116789
12432,2002-09-30,3678,27946,23750
9679,2002-06-30,7977,43802,39164
26704,2002-03-31,0,88516,80744
12525,2002-03-31,918389,4050000,3830000
35302,2002-03-31,0,55425,50533
35261,2002-03-31,0,19224,16180
16699,2002-09-30,544,26393,23345
4511,2002-03-31,22185,167218,150173
26906,2002-03-31,0,16500,14504
29861,2002-06-30,8656,245854,221482
26621,2002-09-30,0,606335,465442
1553,2002-12-31,3190,202289,183684
10464,2002-09-30,5374,52600,45311
4371,2002-06-30,2062,111453,102728
20220,2002-03-31,12,110560,89985
7329,2002-09-30,9237,72544,64979
9712,2002-12-31,339533,2280000,2080000
19768,2002-06-30,25201,209351,192509
18272,2002-09-30,198956,500560,458191
4734,2002-09-30,0,54165,50160
12017,2002-12-31,177740,428867,375587
1005,2002-12-31,10326,516025,474407
35461,2002-09-30,8310,49308,43584
11106,2002-03-31,124841,953976,883198
4132,2002-12-31,22868,167192,145870
33893,2002-09-30,352984,924328,862646
34242,2002-06-30,3975,90627,79897
25330,2002-09-30,10982,293366,265905
3718,2002-03-31,353,63360,59108
2182,2002-03-31,1648,34003,29538
20280,2002-12-31,18323,784507,728262
24347,2002-09-30,176345,569205,526303
90301,2002-12-31,82572,705738,638657
28555,2002-06-30,5101,82332,62325
24211,2002-03-31,0,36204,33085
18229,2002-06-30,24070,253160,227494
3842,2002-09-30,35276,239728,220772
19355,2002-03-31,0,269564,237074
26499,2002-06-30,134,241178,218587
34483,2002-06-30,0,3660000,2230000
18374,2002-09-30,35687,167649,147309
2698,2002-06-30,9477,97282,85452
2241,2002-09-30,50937,176329,158518
11113,2002-12-31,168,306905,246330
11431,2002-06-30,490,129775,114169
4198,2002-09-30,9026,49415,43759
6786,2002-06-30,2251,84168,72120
16770,2002-12-31,3488,84069,74914
17643,2002-06-30,54796,177385,155890
14195,2002-03-31,3516,109465,100320
15275,2002-09-30,6959,169098,155814
34676,2002-12-31,21144,125955,115569
29307,2002-12-31,156428,2120000,1920000
15423,2002-12-31,0,26261,23874
11865,2002-06-30,233,7578,6203
29035,2002-09-30,3643,248397,214529
939,2002-06-30,2464,45507,41714
26395,2002-09-30,17453,281813,229035
18531,2002-09-30,16566,240911,221773
34547,2002-06-30,54749,221988,205836
35395,2002-09-30,4140,57398,52222
27006,2002-09-30,141080,907697,836108
11788,2002-12-31,5304,61366,51898
26314,2002-09-30,0,2663,514
2778,2002-09-30,30740,98821,91395
1092,2002-03-31,145,56926,51788
7461,2002-03-31,331,50784,45808
26960,2002-06-30,0,41250,37401
6134,2002-06-30,16036,564318,526934
10474,2002-12-31,8839,129258,116212
25249,2002-09-30,8559,82162,74084
33893,2002-12-31,314016,868505,804664
18374,2002-03-31,24621,162249,143835
26222,2002-12-31,0,43889,39859
4767,2002-03-31,156014,879124,795044
1983,2002-03-31,0,20019,17776
18987,2002-06-30,20,36600,33527
33891,2002-06-30,15216,896584,824640
24085,2002-09-30,11628,68918,62649
35229,2002-06-30,0,24867,21880
16574,2002-12-31,3101,64105,59531
24681,2002-03-31,0,1190,19
19980,2002-06-30,16540,251350,232001
11739,2002-09-30,32124,202825,185972
11349,2002-09-30,685,80552,73830
28860,2002-03-31,16543,83208,75985
3130,2002-09-30,3790,63107,57264
6734,2002-09-30,21127,434437,389100
20349,2002-09-30,13950,59877,54184
15714,2002-09-30,40722,293216,269170
35299,2002-12-31,0,59968,52036
1744,2002-03-31,12820,44111,40248
11704,2002-06-30,28693,91294,79414
28981,2002-12-31,396105,3040000,2820000
17825,2002-12-31,0,9976,8681
19420,2002-12-31,12,130698,118270
14644,2002-03-31,121758,343064,313010
4063,2002-12-31,1840000,8580000,8070000
18625,2002-06-30,405,328413,302037
30951,2002-12-31,2178,40263,35420
5208,2002-09-30,1010000,52400000,48300000
23266,2002-06-30,93,316503,293841
16330,2002-09-30,14,24916,22544
90290,2002-12-31,428,598402,555961
30337,2002-06-30,144326,1030000,933419
852,2002-03-31,22751,214400,200046
8811,2002-09-30,4639,193748,178652
21793,2002-06-30,620,29299,26584
6680,2002-06-30,498,57579,52633
13454,2002-03-31,16233,119524,109436
5673,2002-06-30,6283,96352,79828
18244,2002-06-30,97455,446014,418998
9262,2002-06-30,7419,73856,67921
10849,2002-03-31,14311,85724,76428
19101,2002-12-31,0,160423,142258
34359,2002-06-30,0,10256,6645
11682,2002-12-31,0,56823,48749
5099,2002-09-30,704,38354,35233
34913,2002-06-30,113,16649,12722
10136,2002-09-30,17657,186955,170637
29056,2002-09-30,33365,180367,153616
17491,2002-06-30,188702,1450000,1330000
9672,2002-09-30,42,50997,45643
29636,2002-12-31,142,105883,91510
32547,2002-09-30,3264,35345,32640
17847,2002-12-31,299,148167,135971
18201,2002-03-31,48346,317724,290564
32916,2002-12-31,0,60606,56480
22304,2002-03-31,1674,172312,157962
24867,2002-03-31,0,493340,441283
34046,2002-06-30,4660,74837,66110
5704,2002-06-30,0,46414,41293
26485,2002-06-30,0,114938,96441
5503,2002-12-31,0,17416,15701
35028,2002-06-30,2912,73829,67622
4392,2002-12-31,699509,2850000,2580000
6271,2002-06-30,0,290207,267220
28679,2002-03-31,470341,1590000,1430000
23404,2002-06-30,496,73619,67798
17162,2002-03-31,29676,207832,188935
31813,2002-06-30,0,5225,4389
27034,2002-09-30,2996,177981,165456
26396,2002-09-30,1531,217866,200967
31840,2002-06-30,0,238689,213959
35430,2002-09-30,7751,66143,55718
31015,2002-12-31,6100,73957,63866
34238,2002-09-30,2,68490,62218
10489,2002-06-30,0,18082,16419
21649,2002-03-31,0,187321,171596
4051,2002-03-31,3499,19137,16484
10203,2002-06-30,2974,298498,272800
16595,2002-12-31,10578,221093,204234
34332,2002-12-31,11629,201080,185036
28449,2002-09-30,78625,440827,409741
28617,2002-09-30,61863,499912,424540
28677,2002-06-30,2879,68948,61964
33989,2002-03-31,12941,338084,312388
14948,2002-03-31,4673,136069,123274
33977,2002-03-31,2444,78314,71949
10318,2002-03-31,73,261967,230107
3355,2002-09-30,54746,113699,102425
27933,2002-12-31,7638,134416,121293
8232,2002-09-30,3243,129880,113905
9747,2002-12-31,2269,32799,28108
16039,2002-09-30,42600,145547,132865
13946,2002-12-31,24767,110763,99255
22864,2002-12-31,1219,418540,377282
16673,2002-09-30,5326,131810,121756
29831,2002-12-31,4450,59108,44032
14973,2002-09-30,273,45811,42342
21995,2002-12-31,14168,142420,127609
57164,2002-06-30,11361,23107,17085
35495,2002-12-31,0,17110,12573
18937,2002-09-30,0,14076,12229
14264,2002-03-31,6457,232091,214358
21083,2002-12-31,8594,116583,100986
34129,2002-12-31,0,18796,6092
21883,2002-09-30,81899,358243,322274
10804,2002-06-30,7107,73264,65768
23671,2002-06-30,65,69740,63375
15472,2002-06-30,3812,86171,79472
14291,2002-06-30,24,27716,25453
4421,2002-06-30,3083,38839,35353
33134,2002-06-30,0,285355,263081
20394,2002-03-31,0,18076,17036
90666,2002-06-30,0,16394,14867
24922,2002-06-30,0,110372,102612
18454,2002-09-30,3476,50705,45498
57262,2002-06-30,20388,61104,54869
34887,2002-06-30,1447,37757,33540
24272,2002-09-30,1288,55744,51229
9087,2002-06-30,59798,3380000,3050000
3047,2002-09-30,1146,46267,42989
12757,2002-03-31,3877,32763,28056
18277,2002-03-31,495,125406,101156
34074,2002-03-31,0,87822,80585
1711,2002-12-31,0,269677,242407
8868,2002-06-30,26372,220608,203576
9268,2002-09-30,13982,87645,80427
28010,2002-03-31,8022,93945,78141
16636,2002-09-30,80070,614150,530496
21809,2002-03-31,0,10301,9218
34851,2002-12-31,79700,433027,402148
33996,2002-06-30,6801,109976,102520
28765,2002-09-30,743874,1300000,1070000
30126,2002-12-31,51198,120229,104508
35546,2002-03-31,854,216148,198634
5672,2002-03-31,31929,427849,397219
15978,2002-09-30,17298,179052,163103
10563,2002-12-31,0,20448,18944
10924,2002-06-30,0,67089,61967
29705,2002-12-31,3278,121025,108643
18584,2002-12-31,0,235626,216913
27685,2002-03-31,2894,23590,21255
29535,2002-12-31,22868,81950,75835
14488,2002-06-30,6,125211,115327
13677,2002-06-30,14,31343,27067
34162,2002-06-30,1800,171471,159009
1607,2002-09-30,21842,238394,219021
33844,2002-06-30,72173,361628,320054
1124,2002-09-30,5525,73019,66347
23803,2002-06-30,8287,160205,148043
16250,2002-09-30,365715,1210000,1120000
18869,2002-09-30,2606,339814,305070
17842,2002-12-31,3442,536104,483953
7356,2002-06-30,37691,143538,130568
35313,2002-09-30,1605,67596,58826
5286,2002-12-31,34519,177518,162328
86,2002-03-31,1165,29767,26460
35380,2002-12-31,999,33288,28339
12716,2002-09-30,142,53728,41321
3857,2002-03-31,0,104190,87796
33219,2002-09-30,0,299540,275376
11708,2002-06-30,0,115301,97363
15347,2002-06-30,2120,72329,66022
22025,2002-06-30,459,8440,7191
28243,2002-06-30,13087,128367,115466
19679,2002-03-31,4816,109889,96269
2992,2002-12-31,0,47355,39240
30763,2002-06-30,6722,214079,198466
3098,2002-09-30,1102,38722,33832
15772,2002-09-30,9011,89227,78598
18400,2002-12-31,122,82666,74530
23058,2002-09-30,642,91819,83043
13430,2002-06-30,8575,78745,72226
30919,2002-09-30,9722,51130,39594
14311,2002-09-30,20,58626,52476
5006,2002-12-31,19619,197462,167556
17210,2002-06-30,692,28537,24878
5982,2002-09-30,1520000,9190000,8520000
